bill_id,intercept_term,num_cosponsors,introduced_month,num_voting_rounds,num_passed_rounds,amount,bipartisan score,% of cosponsors in the committee it is referred to,historical rate for success,historical rate for getting out committee,Vote-mean,Vote-stdev,Vote-hist-10%,Vote-hist-25%,Vote-hist-50%,Vote-hist-75%,Vote-hist-90%,status
hjres97,1,1,10,0,0,83635.9333333333,1,0.04,0.0509838998,0.2826086957,0.7392934251,2.060592172,-1.3518348025,-0.5003740221,0.3458512453,1.0424689826,4.03886289,REFERRED
hjres98,1,9,10,0,0,34803.1111111111,1,0.005,0.0058252427,0.0262135922,0.7939043284,2.1411788912,-1.4543618277,-0.453956346,0.4284860689,1.1174724066,4.2526758277,REFERRED
hjres99,1,1,10,1,1,131801.2,1,0.16,0.0509838998,0.1305903399,0.7667334911,1.8364720292,-0.9449813799,-0.2703266159,0.3350968326,0.9079284366,3.782717512,PASS_OVER:HOUSE
hr10,1,23,4,1,1,158697.714285714,0.8260869565,0.0070588235,0.0509838998,0.1305903399,0.5740462869,1.391213804,-0.607201469,-0.2321712792,0.1789477178,0.779532976,2.7367738427,PASS_OVER:HOUSE
hr100,1,14,1,0,0,19914.6666666667,0,0.06,0.0509838998,0.1305903399,0.7523597994,2.2569526769,-1.7065640697,-0.5939268606,0.43571871,1.2206797304,3.8636854241,REFERRED
hr1000,1,58,3,0,0,19914.6666666667,0,0.32,0.015704154,0.0871327254,0.9265585104,2.014044192,-1.0714547912,-0.2419665218,0.5542697058,1.209630752,4.052170329,REFERRED
hr1001,1,19,3,0,0,0,0.4736842105,0.48,0.0100250627,0.0601503759,0.6821412471,1.747684386,-0.995018323,-0.3438122244,0.2575400192,1.0277347601,3.1931031622,REFERRED
hr1002,1,16,3,0,0,12562.4375,0,0.96,0.0437566702,0.1419423693,0.68949948,2.0427092622,-1.4320542841,-0.6709474294,0.3386978747,1.0587600631,3.7581753092,REFERRED
hr1003,1,7,3,0,0,411363,0.7142857143,0,0.1208791209,0.3076923077,0.7114179374,1.7868744457,-1.0571085908,-0.4035874736,0.4348562242,1.1055175817,3.1025743981,REPORTED
hr1004,1,5,3,0,0,220428,0,0,0.0007309942,0.0168128655,0.7793420352,2.1954201504,-1.5757681421,-0.4230879546,0.4369536314,1.1122216406,4.1741801541,REFERRED
hr1005,1,57,3,0,0,71391.6666666667,0.9824561404,0.02,0.0391304348,0.2826086957,0.3421224937,0.9721729767,-0.9061223539,-0.4858089514,0.4804403528,0.9819088831,1.4687007007,REFERRED
hr1006,1,3,3,0,0,40021.7692307692,0.6666666667,0.24,0.0563991323,0.3383947939,0.822405587,2.4755508837,-1.5673644903,-0.5830197289,0.2688849618,1.1001383071,4.3533537119,REFERRED
hr1007,1,4,3,0,0,69096.5714285714,0.25,0.96,0.0007309942,0.0168128655,0.890625552,2.5854109947,-1.6533630707,-0.5463593602,0.4562820743,1.1248722347,4.6898912838,REFERRED
hr1008,1,105,3,0,0,1105202.5,0.1333333333,0.075,0.0483870968,0.2741935484,0.6881669445,0.9660467793,-0.5178653317,0.0932182599,0.6818369073,1.090021698,1.8026386516,REFERRED
