billid, x, binned score, bipartisan score, status
hjres49,1,1.0,1.0,REFERRED
hjres5,1,1.0,1.0,REFERRED
hjres50,1,1.0,0.987654320988,REFERRED
hjres51,1,0.9,0.95,REFERRED
hjres52,1,0.8,0.75,REFERRED
hjres53,1,1.0,1.0,REFERRED
hjres54,1,1.0,1.0,REFERRED
hjres55,1,1.0,1.0,REFERRED
hjres56,1,0.0,0.0282485875706,REFERRED
hjres57,1,1.0,1.0,REFERRED
hjres58,1,1.0,1.0,REFERRED
hjres59,1,1.0,1.0,ENACTED:SIGNED
hjres6,1,1.0,1.0,REFERRED
hjres60,1,0.5,0.5,REFERRED
hjres61,1,0.0,0.0,REFERRED
hjres62,1,1.0,0.975903614458,REFERRED
hjres63,1,1.0,1.0,REFERRED
hjres64,1,1.0,0.982456140351,REFERRED
hjres65,1,1.0,1.0,REFERRED
hjres66,1,1.0,1.0,REFERRED
hjres67,1,1.0,1.0,REFERRED
hjres68,1,0.1,0.111111111111,REFERRED
hjres69,1,1.0,1.0,REFERRED
hjres7,1,0.0,0.0,REFERRED
hjres70,1,1.0,1.0,PASS_OVER:HOUSE
hjres71,1,0.0,0.0,PASS_OVER:HOUSE
hjres72,1,1.0,1.0,PASS_OVER:HOUSE
hjres73,1,1.0,1.0,PASS_OVER:HOUSE
hjres74,1,1.0,1.0,REFERRED
hjres75,1,1.0,1.0,PASS_OVER:HOUSE
hjres76,1,1.0,1.0,ENACTED:SIGNED
hjres77,1,1.0,1.0,PASS_OVER:HOUSE
hjres78,1,0.0,0.0,REFERRED
hjres79,1,1.0,1.0,PASS_OVER:HOUSE
hjres8,1,1.0,1.0,REFERRED
hjres80,1,1.0,1.0,PASS_OVER:HOUSE
hjres81,1,1.0,1.0,REFERRED
hjres82,1,1.0,1.0,REFERRED
hjres83,1,1.0,1.0,REFERRED
hjres84,1,1.0,1.0,PASS_OVER:HOUSE
hjres85,1,1.0,1.0,PASS_OVER:HOUSE
hjres86,1,1.0,1.0,REFERRED
hjres87,1,1.0,1.0,REFERRED
hjres88,1,1.0,1.0,REFERRED
hjres89,1,1.0,1.0,PASS_OVER:HOUSE
hjres9,1,1.0,1.0,REFERRED
hjres90,1,1.0,1.0,PASS_OVER:HOUSE
hjres91,1,0.5,0.52380952381,ENACTED:SIGNED
hjres92,1,1.0,1.0,REFERRED
hjres93,1,0.7,0.666666666667,REFERRED
hjres94,1,0.9,0.9375,REFERRED
hjres95,1,1.0,1.0,REFERRED
hjres96,1,0.8,0.75,REFERRED
hjres97,1,1.0,1.0,REFERRED
hjres98,1,1.0,1.0,REFERRED
hjres99,1,1.0,1.0,PASS_OVER:HOUSE
hr10,1,0.8,0.826086956522,PASS_OVER:HOUSE
hr100,1,0.0,0.0,REFERRED
hr1000,1,0.0,0.0,REFERRED
hr1001,1,0.4,0.421052631579,REFERRED
hr1002,1,0.0,0.0,REFERRED
hr1003,1,0.7,0.714285714286,REPORTED
hr1004,1,0.0,0.0,REFERRED
hr1005,1,1.0,0.964912280702,REFERRED
hr1006,1,0.7,0.666666666667,REFERRED
hr1007,1,0.3,0.25,REFERRED
hr1008,1,0.1,0.134615384615,REFERRED
hr1009,1,0.3,0.30303030303,REFERRED
hr101,1,0.0,0.0,REFERRED
hr1010,1,0.0,0.0,REFERRED
hr1011,1,1.0,1.0,REFERRED
hr1012,1,0.0,0.0344827586207,REFERRED
hr1013,1,1.0,1.0,REFERRED
hr1014,1,0.6,0.608108108108,REFERRED
hr1015,1,0.3,0.323529411765,REFERRED
hr1016,1,0.0,0.0,REFERRED
hr1017,1,1.0,1.0,REFERRED
hr1018,1,0.1,0.0833333333333,REFERRED
hr1019,1,0.0,0.0,REFERRED
hr102,1,0.0,0.0,REFERRED
hr1020,1,0.6,0.609053497942,REFERRED
hr1021,1,1.0,1.0,REFERRED
hr1022,1,0.0,0.0,PROV_KILL:SUSPENSIONFAILED
hr1023,1,0.0,0.0,REFERRED
hr1024,1,0.5,0.491228070175,REFERRED
hr1025,1,0.0,0.0,REFERRED
hr1026,1,0.9,0.906976744186,REFERRED
hr1027,1,0.0,0.0,REFERRED
hr1028,1,0.0,0.0,REFERRED
hr1029,1,0.0,0.0,REFERRED
hr103,1,0.0,0.0,REFERRED
hr1030,1,0.0,0.0,REFERRED
hr1031,1,0.0,0.0,REFERRED
hr1032,1,0.8,0.846153846154,REFERRED
hr1033,1,0.3,0.25,PASS_OVER:HOUSE
hr1034,1,0.0,0.0,REFERRED
hr1035,1,0.3,0.333333333333,PASS_OVER:HOUSE
hr1036,1,0.4,0.4,ENACTED:SIGNED
hr1037,1,0.0,0.0,REFERRED
hr1038,1,0.5,0.488372093023,PASS_OVER:HOUSE
hr1039,1,1.0,0.952380952381,REFERRED
hr104,1,0.9,0.862068965517,REFERRED
hr1040,1,0.9,0.916666666667,REFERRED
hr1041,1,0.0,0.0,REFERRED
hr1042,1,0.0,0.0,REFERRED
hr1043,1,0.0,0.0,REFERRED
hr1044,1,0.0,0.0,REFERRED
hr1045,1,0.0,0.0,REFERRED
